Wavelength (m) ,E_ph (J),a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
3.360E-07,5.912E-19,3.207E-02,2.944E-02,2.860E-02,2.342E-02,1.962E-02,8.903E-03,6.068E-03,2.675E-03,8.157E-03
3.370E-07,5.894E-19,3.218E-02,2.889E-02,2.682E-02,2.376E-02,1.883E-02,7.682E-03,5.625E-03,3.023E-03,5.072E-03
3.380E-07,5.877E-19,3.205E-02,2.813E-02,2.780E-02,2.486E-02,1.773E-02,8.504E-03,5.892E-03,3.117E-03,1.665E-03
3.390E-07,5.860E-19,3.219E-02,2.910E-02,2.795E-02,2.567E-02,1.971E-02,9.701E-03,6.474E-03,3.771E-03,7.387E-03
3.400E-07,5.842E-19,3.240E-02,2.934E-02,2.854E-02,2.528E-02,2.114E-02,1.017E-02,7.015E-03,3.893E-03,7.740E-03
3.410E-07,5.825E-19,3.220E-02,3.038E-02,2.844E-02,2.523E-02,2.125E-02,9.480E-03,6.473E-03,3.599E-03,8.085E-03
3.420E-07,5.808E-19,3.210E-02,3.035E-02,2.836E-02,2.507E-02,2.042E-02,9.702E-03,6.825E-03,3.804E-03,6.457E-03
3.430E-07,5.791E-19,3.234E-02,2.936E-02,2.905E-02,2.407E-02,2.143E-02,1.015E-02,7.181E-03,3.495E-03,4.865E-03
3.440E-07,5.775E-19,3.177E-02,2.782E-02,2.768E-02,2.441E-02,1.946E-02,7.437E-03,5.021E-03,3.367E-03,9.743E-03
3.450E-07,5.758E-19,3.204E-02,2.926E-02,2.630E-02,2.540E-02,1.895E-02,8.096E-03,5.359E-03,2.939E-03,9.216E-03
3.460E-07,5.741E-19,3.164E-02,2.907E-02,2.792E-02,2.535E-02,2.026E-02,9.129E-03,6.361E-03,3.476E-03,5.978E-03
3.470E-07,5.725E-19,3.183E-02,2.913E-02,2.727E-02,2.495E-02,1.943E-02,8.621E-03,5.935E-03,3.416E-03,4.121E-03
3.480E-07,5.708E-19,3.155E-02,2.836E-02,2.793E-02,2.498E-02,1.909E-02,9.408E-03,6.458E-03,3.630E-03,4.831E-03
3.490E-07,5.692E-19,3.122E-02,2.835E-02,2.649E-02,2.569E-02,1.912E-02,8.868E-03,6.541E-03,3.380E-03,4.320E-03
3.500E-07,5.676E-19,3.137E-02,2.811E-02,2.770E-02,2.627E-02,2.061E-02,1.054E-02,7.342E-03,4.072E-03,7.371E-03
3.510E-07,5.659E-19,3.113E-02,2.767E-02,2.832E-02,2.599E-02,2.211E-02,1.082E-02,7.689E-03,4.108E-03,8.501E-03
